id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
285,Киберфизические производственные системы,15.03.06,Мехатроника и робототехника,"Инженер, Инженер-мехатроник, Специалист по киберфизическим системами остальные",,25.0,,,,https://vuzopedia.ru/program/bakispec/12382
286,Автоматизация и цифровизация бизнеса,09.03.03,Прикладная информатика,"Программист, Информатик (специалист по информационным технологиям), Системный аналитики остальные",161400.0,58.0,,121.0,8.0,https://vuzopedia.ru/program/bakispec/12379
287,Цифровые технологии в топливно-энергетическом комплексе,13.03.01,Теплоэнергетика и теплотехника,"Аналитик данных, Специалист по информационным системам, Руководитель разработки программного обеспеченияи остальные",,30.0,,,,https://vuzopedia.ru/program/bakispec/12374
288,Производственная надёжность и инжиниринг объектов топливно-энергетического комплекса,15.03.02,Технологические машины и оборудование,"Инженер, Инженер по промышленной безопасности, Инженер по техническому надзоруи остальные",,20.0,,,,https://vuzopedia.ru/program/bakispec/12371
289,Корпоративные информационные системы управления,09.03.02,Информационные системы и технологии,"Информатик-технолог, Специалист по информационным системам, Системный аналитики остальные",38000.0,151.0,102.0,121.0,48.0,https://vuzopedia.ru/program/bakispec/12368
290,"Порошковая металлургия, композиционные материалы и покрытия",22.03.01,Материаловедение и технологии материалов,"Инженер-металлург, Специалист по порошковой металлургии, Материаловеди остальные",,25.0,,,,https://vuzopedia.ru/program/bakispec/12365
291,Технологические процессы в машиностроении,15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,"Инженер, Инженер-машиностроитель, Специалист по технологии машиностроенияи остальные",67000.0,1.0,,120.0,32.0,https://vuzopedia.ru/program/bakispec/12362
292,Предпринимательство и управление бизнесом,38.03.01,Экономика,"Предприниматель, Специалист по бизнес-планированию и разработке бизнес-планов, Экономисти остальные",,5.0,,120.0,20.0,https://vuzopedia.ru/program/bakispec/12359
293,Химия новых функциональных материалов,04.03.01,Химия,"Химик-технолог, Химик, Инженер-химики остальные",159000.0,136.0,14.0,120.0,5.0,https://vuzopedia.ru/program/bakispec/12356
294,Информатика и искусственный интеллект в образовании,44.03.04,Профессиональное обучение (по отраслям),"Учитель информатики и вычислительной техники, Специалист по искусственному интеллектуи остальные",69000.0,195.0,15.0,121.0,15.0,https://vuzopedia.ru/program/bakispec/12353
295,Искусственный интеллект и анализ данных,01.03.01,Математика,"Математик, Аналитик данных, Специалист по искусственному интеллектуи остальные",143000.0,169.0,15.0,121.0,5.0,https://vuzopedia.ru/program/bakispec/12350
296,"Проектирование и постройка кораблей, судов и объектов океанотехники",26.05.01,"Проектирование и постройка кораблей, судов и объектов океанотехники","Инженер, Инженер-кораблестроитель, Судостроитель-судоремонтник металлических судови остальные",,30.0,,,,https://vuzopedia.ru/program/bakispec/12349
297,Цифровая экономика и аналитика данных,01.03.01,Математика,"Математик, Аналитик данных, Инженер-экономисти остальные",143000.0,140.0,14.0,121.0,5.0,https://vuzopedia.ru/program/bakispec/12347
